input_text,output_text
"create a cube in front of me","cube-create-relative 100 0 0 10 gray"
"create a black cube in front of me","cube-create-relative 100 0 0 10 black"
"create a blue cube in front of me","cube-create-relative 100 0 0 10 blue"
"create a green cube in front of me","cube-create-relative 100 0 0 10 green"
"create a red cube in front of me","cube-create-relative 100 0 0 10 red"
"create a black cube","cube-create-relative 100 0 0 10 black"
"create 1 cube","cube-create-relative 100 0 0 10 gray"
"create 2 cube","cube-create-relative 100 0 0 11 gray"
"create 3 cube","cube-create-relative 100 0 0 12 gray"
"create 4 cube","cube-create-relative 100 0 0 13 gray"
"create 5 cube","cube-create-relative 100 0 0 14 gray"
"create 6 cube","cube-create-relative 100 0 0 15 gray"
"create 7 cube","cube-create-relative 100 0 0 16 gray"
"create 8 cube","cube-create-relative 100 0 0 17 gray"
"create 9 cube","cube-create-relative 100 0 0 18 gray"
"create 10 cube","cube-create-relative 100 0 0 19 gray"
"create 11 cube","cube-create-relative 100 0 0 20 gray"
"create 12 cube","cube-create-relative 100 0 0 21 gray"
"create 13 cube","cube-create-relative 100 0 0 22 gray"
"create 14 cube","cube-create-relative 100 0 0 23 gray"
"create 15 cube","cube-create-relative 100 0 0 24 gray"
"create 16 cube","cube-create-relative 100 0 0 25 gray"
"create 17 cube","cube-create-relative 100 0 0 26 gray"
"create 18 cube","cube-create-relative 100 0 0 27 gray"
"create 19 cube","cube-create-relative 100 0 0 28 gray"
