input,output
"Create a blue pyramid at X=-39, Y=7, Z=-6.",createObject
"Create a yellow cube at X=87, Y=69, Z=-19.",createObject
"Create a red sphere at X=66, Y=-40, Z=-31.",createObject
"Create a red pyramid at X=64, Y=91, Z=-62.",createObject
"Create a yellow cube at X=97, Y=22, Z=27.",createObject
"Create a blue cube at X=56, Y=-7, Z=47.",createObject
"Create a blue cube at X=76, Y=-47, Z=-99.",createObject
"Create a yellow cube at X=-18, Y=-9, Z=-8.",createObject
"Create a yellow cube at X=96, Y=18, Z=1.",createObject
"Create a red pyramid at X=18, Y=60, Z=-5.",createObject
"Create a green cube at X=100, Y=-76, Z=-6.",createObject
"Create a green pyramid at X=3, Y=33, Z=63.",createObject
"Create a green sphere at X=-92, Y=-29, Z=-71.",createObject
"Create a green cube at X=-77, Y=-70, Z=5.",createObject
"Create a blue sphere at X=22, Y=73, Z=-13.",createObject
"Create a blue pyramid at X=-71, Y=-39, Z=-27.",createObject
"Create a blue pyramid at X=-19, Y=39, Z=51.",createObject
"Create a blue cube at X=98, Y=-81, Z=-88.",createObject
"Create a yellow cube at X=-22, Y=80, Z=-91.",createObject
"Create a red sphere at X=26, Y=64, Z=74.",createObject
"Create a red sphere at X=76, Y=21, Z=-65.",createObject
"Create a red sphere at X=92, Y=61, Z=-20.",createObject
"Create a yellow pyramid at X=-72, Y=-33, Z=71.",createObject
"Create a blue cube at X=-42, Y=88, Z=7.",createObject
"Create a red cube at X=-87, Y=-8, Z=70.",createObject
"Create a yellow pyramid at X=-36, Y=44, Z=28.",createObject
"Create a red cube at X=8, Y=39, Z=-76.",createObject
"Create a red cube at X=-42, Y=-100, Z=-81.",createObject
"Create a red sphere at X=-23, Y=52, Z=-93.",createObject
"Create a green pyramid at X=-38, Y=-67, Z=16.",createObject
"Create a red sphere at X=58, Y=-92, Z=-51.",createObject
"Create a red cube at X=37, Y=-63, Z=49.",createObject
"Create a green sphere at X=-3, Y=-24, Z=51.",createObject
"Create a red cube at X=-63, Y=-33, Z=-92.",createObject
"Create a red cube at X=-24, Y=-29, Z=3.",createObject
"Create a yellow sphere at X=8, Y=19, Z=10.",createObject
"Create a blue cube at X=-96, Y=56, Z=-84.",createObject
"Create a yellow cube at X=-97, Y=62, Z=65.",createObject
"Create a blue pyramid at X=-74, Y=-32, Z=27.",createObject
"Create a green pyramid at X=35, Y=26, Z=89.",createObject
"Create a yellow pyramid at X=-31, Y=-50, Z=-38.",createObject
"Create a yellow sphere at X=22, Y=64, Z=24.",createObject
"Create a green pyramid at X=83, Y=9, Z=66.",createObject
"Create a red pyramid at X=2, Y=-31, Z=26.",createObject
"Create a red cube at X=27, Y=-14, Z=-31.",createObject
"Create a blue pyramid at X=9, Y=90, Z=-81.",createObject
"Create a blue cube at X=-45, Y=-46, Z=-68.",createObject
"Create a green pyramid at X=-20, Y=33, Z=56.",createObject
"Create a green pyramid at X=-16, Y=13, Z=-95.",createObject
"Create a red cube at X=-74, Y=73, Z=56.",createObject
"Create a blue cube at X=-74, Y=-55, Z=-47.",createObject
"Create a green pyramid at X=78, Y=-49, Z=23.",createObject
"Create a blue cube at X=-56, Y=-31, Z=94.",createObject
"Create a yellow sphere at X=-42, Y=92, Z=-83.",createObject
"Create a green sphere at X=61, Y=-93, Z=41.",createObject
"Create a blue sphere at X=-41, Y=-92, Z=-91.",createObject
"Create a red pyramid at X=64, Y=63, Z=-80.",createObject
"Create a yellow pyramid at X=79, Y=-51, Z=69.",createObject
"Create a yellow sphere at X=38, Y=29, Z=53.",createObject
"Create a red pyramid at X=-99, Y=59, Z=35.",createObject
"Create a yellow pyramid at X=-38, Y=4, Z=91.",createObject
"Create a green cube at X=-20, Y=-99, Z=56.",createObject
"Create a yellow cube at X=-47, Y=-43, Z=-38.",createObject
"Create a red pyramid at X=29, Y=-91, Z=-44.",createObject
"Create a yellow sphere at X=-45, Y=26, Z=-62.",createObject
"Create a green cube at X=-32, Y=1, Z=-43.",createObject
"Create a red pyramid at X=33, Y=98, Z=51.",createObject
"Create a yellow pyramid at X=-25, Y=30, Z=-64.",createObject
"Create a yellow sphere at X=66, Y=-38, Z=-24.",createObject
"Create a red cube at X=-21, Y=-61, Z=71.",createObject
"Create a red sphere at X=43, Y=-6, Z=73.",createObject
