input,output
"Create a yellow pyramid at X=96, Y=-65, Z=-29.","createObject(type=""pyramid"", color=""yellow"", location={x:96, y:-65, z:-29})"
"Create a green sphere at X=-36, Y=67, Z=-48.","createObject(type=""sphere"", color=""green"", location={x:-36, y:67, z:-48})"
"Create a yellow pyramid at X=12, Y=21, Z=-36.","createObject(type=""pyramid"", color=""yellow"", location={x:12, y:21, z:-36})"
"Create a red cube at X=-48, Y=32, Z=-74.","createObject(type=""cube"", color=""red"", location={x:-48, y:32, z:-74})"
"Create a yellow pyramid at X=-92, Y=-77, Z=-78.","createObject(type=""pyramid"", color=""yellow"", location={x:-92, y:-77, z:-78})"
"Create a red cube at X=-60, Y=66, Z=-10.","createObject(type=""cube"", color=""red"", location={x:-60, y:66, z:-10})"
"Create a yellow pyramid at X=26, Y=-59, Z=-7.","createObject(type=""pyramid"", color=""yellow"", location={x:26, y:-59, z:-7})"
"Create a yellow cube at X=-26, Y=50, Z=92.","createObject(type=""cube"", color=""yellow"", location={x:-26, y:50, z:92})"
"Create a yellow sphere at X=-1, Y=-81, Z=-3.","createObject(type=""sphere"", color=""yellow"", location={x:-1, y:-81, z:-3})"
"Create a blue pyramid at X=55, Y=-54, Z=-47.","createObject(type=""pyramid"", color=""blue"", location={x:55, y:-54, z:-47})"
"Create a red cube at X=55, Y=-95, Z=45.","createObject(type=""cube"", color=""red"", location={x:55, y:-95, z:45})"
"Create a blue sphere at X=-48, Y=10, Z=34.","createObject(type=""sphere"", color=""blue"", location={x:-48, y:10, z:34})"
"Create a red sphere at X=-8, Y=95, Z=-62.","createObject(type=""sphere"", color=""red"", location={x:-8, y:95, z:-62})"
"Create a green cube at X=-37, Y=15, Z=-16.","createObject(type=""cube"", color=""green"", location={x:-37, y:15, z:-16})"
"Create a red cube at X=-62, Y=17, Z=-87.","createObject(type=""cube"", color=""red"", location={x:-62, y:17, z:-87})"
"Create a green sphere at X=-96, Y=35, Z=28.","createObject(type=""sphere"", color=""green"", location={x:-96, y:35, z:28})"
"Create a green sphere at X=74, Y=-21, Z=-71.","createObject(type=""sphere"", color=""green"", location={x:74, y:-21, z:-71})"
"Create a green pyramid at X=1, Y=92, Z=-55.","createObject(type=""pyramid"", color=""green"", location={x:1, y:92, z:-55})"
"Create a green sphere at X=67, Y=99, Z=32.","createObject(type=""sphere"", color=""green"", location={x:67, y:99, z:32})"
"Create a yellow sphere at X=-54, Y=61, Z=27.","createObject(type=""sphere"", color=""yellow"", location={x:-54, y:61, z:27})"
"Create a green cube at X=-15, Y=-32, Z=-4.","createObject(type=""cube"", color=""green"", location={x:-15, y:-32, z:-4})"
