input,output
Create a yellow cube at position -51 -59 84.,"createObject(type='cube', color='yellow', location={x:-51, y:-59, z:84})"
Create a yellow pyramid at position -19 21 87.,"createObject(type='pyramid', color='yellow', location={x:-19, y:21, z:87})"
Create a blue cube at position 66 76 61.,"createObject(type='cube', color='blue', location={x:66, y:76, z:61})"
Create a green cube at position -82 -85 -9.,"createObject(type='cube', color='green', location={x:-82, y:-85, z:-9})"
Create a blue pyramid at position 51 -43 79.,"createObject(type='pyramid', color='blue', location={x:51, y:-43, z:79})"
Create a green cube at position 95 84 54.,"createObject(type='cube', color='green', location={x:95, y:84, z:54})"
Create a blue cube at position 70 59 1.,"createObject(type='cube', color='blue', location={x:70, y:59, z:1})"
Create a red pyramid at position 16 4 19.,"createObject(type='pyramid', color='red', location={x:16, y:4, z:19})"
Create a red cube at position -84 87 -6.,"createObject(type='cube', color='red', location={x:-84, y:87, z:-6})"
Create a green cube at position 46 66 -93.,"createObject(type='cube', color='green', location={x:46, y:66, z:-93})"
Create a yellow sphere at position -51 -65 82.,"createObject(type='sphere', color='yellow', location={x:-51, y:-65, z:82})"
Create a blue cube at position 64 -60 -71.,"createObject(type='cube', color='blue', location={x:64, y:-60, z:-71})"
Create a green cube at position 13 -21 0.,"createObject(type='cube', color='green', location={x:13, y:-21, z:0})"
Create a green cube at position -78 55 -84.,"createObject(type='cube', color='green', location={x:-78, y:55, z:-84})"
Create a red cube at position -24 10 85.,"createObject(type='cube', color='red', location={x:-24, y:10, z:85})"
Create a yellow cube at position 12 56 -80.,"createObject(type='cube', color='yellow', location={x:12, y:56, z:-80})"
Create a blue pyramid at position 46 -45 -99.,"createObject(type='pyramid', color='blue', location={x:46, y:-45, z:-99})"
Create a blue sphere at position -57 5 98.,"createObject(type='sphere', color='blue', location={x:-57, y:5, z:98})"
Create a red sphere at position 88 -95 -84.,"createObject(type='sphere', color='red', location={x:88, y:-95, z:-84})"
Create a blue cube at position 19 30 96.,"createObject(type='cube', color='blue', location={x:19, y:30, z:96})"
Create a blue sphere at position -31 -65 86.,"createObject(type='sphere', color='blue', location={x:-31, y:-65, z:86})"
Create a yellow cube at position 42 -23 74.,"createObject(type='cube', color='yellow', location={x:42, y:-23, z:74})"
Create a blue sphere at position 88 1 87.,"createObject(type='sphere', color='blue', location={x:88, y:1, z:87})"
Create a yellow sphere at position 73 -81 38.,"createObject(type='sphere', color='yellow', location={x:73, y:-81, z:38})"
Create a blue sphere at position 8 -81 -54.,"createObject(type='sphere', color='blue', location={x:8, y:-81, z:-54})"
Create a green pyramid at position -35 42 -51.,"createObject(type='pyramid', color='green', location={x:-35, y:42, z:-51})"
Create a red sphere at position -11 94 -3.,"createObject(type='sphere', color='red', location={x:-11, y:94, z:-3})"
Create a red sphere at position 23 -87 -60.,"createObject(type='sphere', color='red', location={x:23, y:-87, z:-60})"
Create a red cube at position 64 52 -19.,"createObject(type='cube', color='red', location={x:64, y:52, z:-19})"
Create a blue sphere at position 46 -36 15.,"createObject(type='sphere', color='blue', location={x:46, y:-36, z:15})"
Create a green sphere at position 1 -92 77.,"createObject(type='sphere', color='green', location={x:1, y:-92, z:77})"
Create a green pyramid at position -48 17 85.,"createObject(type='pyramid', color='green', location={x:-48, y:17, z:85})"
Create a yellow sphere at position 97 18 -11.,"createObject(type='sphere', color='yellow', location={x:97, y:18, z:-11})"
Create a green pyramid at position 13 0 -27.,"createObject(type='pyramid', color='green', location={x:13, y:0, z:-27})"
Create a green pyramid at position -37 98 -52.,"createObject(type='pyramid', color='green', location={x:-37, y:98, z:-52})"
Create a blue sphere at position -43 61 -12.,"createObject(type='sphere', color='blue', location={x:-43, y:61, z:-12})"
Create a yellow pyramid at position -45 -5 49.,"createObject(type='pyramid', color='yellow', location={x:-45, y:-5, z:49})"
Create a yellow cube at position 22 -19 -94.,"createObject(type='cube', color='yellow', location={x:22, y:-19, z:-94})"
Create a green pyramid at position 92 43 -24.,"createObject(type='pyramid', color='green', location={x:92, y:43, z:-24})"
Create a red cube at position -23 -83 84.,"createObject(type='cube', color='red', location={x:-23, y:-83, z:84})"
Create a blue sphere at position 21 -55 -87.,"createObject(type='sphere', color='blue', location={x:21, y:-55, z:-87})"
Create a yellow pyramid at position -74 -53 -11.,"createObject(type='pyramid', color='yellow', location={x:-74, y:-53, z:-11})"
Create a red pyramid at position 96 38 47.,"createObject(type='pyramid', color='red', location={x:96, y:38, z:47})"
Create a green cube at position 61 -59 96.,"createObject(type='cube', color='green', location={x:61, y:-59, z:96})"
Create a red cube at position -58 -5 41.,"createObject(type='cube', color='red', location={x:-58, y:-5, z:41})"
Create a green pyramid at position -30 33 -79.,"createObject(type='pyramid', color='green', location={x:-30, y:33, z:-79})"
Create a red pyramid at position 1 -74 66.,"createObject(type='pyramid', color='red', location={x:1, y:-74, z:66})"
Create a green pyramid at position 5 91 64.,"createObject(type='pyramid', color='green', location={x:5, y:91, z:64})"
Create a yellow sphere at position -60 -56 -87.,"createObject(type='sphere', color='yellow', location={x:-60, y:-56, z:-87})"
Create a blue cube at position 6 87 -73.,"createObject(type='cube', color='blue', location={x:6, y:87, z:-73})"
Create a red cube at position 11 64 15.,"createObject(type='cube', color='red', location={x:11, y:64, z:15})"
Create a yellow sphere at position -89 -86 54.,"createObject(type='sphere', color='yellow', location={x:-89, y:-86, z:54})"
