input,output
"Create a green sphere at position 45, -70, -72.","createObject(type='sphere', color='green', location={x:45, y:-70, z:-72})"
"Create a green sphere at position 90, -12, 47.","createObject(type='sphere', color='green', location={x:90, y:-12, z:47})"
"Create a yellow sphere at position 61, -64, 90.","createObject(type='sphere', color='yellow', location={x:61, y:-64, z:90})"
"Create a yellow pyramid at position 56, -72, -69.","createObject(type='pyramid', color='yellow', location={x:56, y:-72, z:-69})"
"Create a green sphere at position -83, 92, -4.","createObject(type='sphere', color='green', location={x:-83, y:92, z:-4})"
"Create a yellow sphere at position 75, 98, -72.","createObject(type='sphere', color='yellow', location={x:75, y:98, z:-72})"
"Create a yellow sphere at position -68, -97, -32.","createObject(type='sphere', color='yellow', location={x:-68, y:-97, z:-32})"
"Create a red cube at position 30, 61, -11.","createObject(type='cube', color='red', location={x:30, y:61, z:-11})"
"Create a green cube at position -60, 33, -50.","createObject(type='cube', color='green', location={x:-60, y:33, z:-50})"
"Create a yellow sphere at position 54, 7, 14.","createObject(type='sphere', color='yellow', location={x:54, y:7, z:14})"
"Create a red cube at position 5, -17, 1.","createObject(type='cube', color='red', location={x:5, y:-17, z:1})"
"Create a red pyramid at position -70, 3, -9.","createObject(type='pyramid', color='red', location={x:-70, y:3, z:-9})"
"Create a blue cube at position 32, -76, -1.","createObject(type='cube', color='blue', location={x:32, y:-76, z:-1})"
"Create a yellow cube at position -93, 50, 8.","createObject(type='cube', color='yellow', location={x:-93, y:50, z:8})"
"Create a green cube at position -99, -29, 19.","createObject(type='cube', color='green', location={x:-99, y:-29, z:19})"
"Create a blue sphere at position -89, 34, 5.","createObject(type='sphere', color='blue', location={x:-89, y:34, z:5})"
"Create a blue sphere at position -13, -99, -23.","createObject(type='sphere', color='blue', location={x:-13, y:-99, z:-23})"
"Create a yellow pyramid at position 67, -40, -92.","createObject(type='pyramid', color='yellow', location={x:67, y:-40, z:-92})"
"Create a green pyramid at position -25, -58, 3.","createObject(type='pyramid', color='green', location={x:-25, y:-58, z:3})"
"Create a red sphere at position 33, -41, -22.","createObject(type='sphere', color='red', location={x:33, y:-41, z:-22})"
"Create a red sphere at position 62, -41, -90.","createObject(type='sphere', color='red', location={x:62, y:-41, z:-90})"
"Create a green pyramid at position -58, 74, -22.","createObject(type='pyramid', color='green', location={x:-58, y:74, z:-22})"
"Create a red sphere at position -88, 48, 69.","createObject(type='sphere', color='red', location={x:-88, y:48, z:69})"
"Create a red cube at position 51, -85, -30.","createObject(type='cube', color='red', location={x:51, y:-85, z:-30})"
"Create a yellow pyramid at position -1, 48, 86.","createObject(type='pyramid', color='yellow', location={x:-1, y:48, z:86})"
"Create a blue cube at position -24, 52, 22.","createObject(type='cube', color='blue', location={x:-24, y:52, z:22})"
"Create a red sphere at position 8, 29, 36.","createObject(type='sphere', color='red', location={x:8, y:29, z:36})"
"Create a yellow pyramid at position 4, -17, -58.","createObject(type='pyramid', color='yellow', location={x:4, y:-17, z:-58})"
"Create a yellow cube at position -56, -59, 14.","createObject(type='cube', color='yellow', location={x:-56, y:-59, z:14})"
"Create a red cube at position 74, 76, 33.","createObject(type='cube', color='red', location={x:74, y:76, z:33})"
"Create a green cube at position 26, -32, -65.","createObject(type='cube', color='green', location={x:26, y:-32, z:-65})"
"Create a blue sphere at position -38, -90, -19.","createObject(type='sphere', color='blue', location={x:-38, y:-90, z:-19})"
"Create a blue cube at position 97, -93, 88.","createObject(type='cube', color='blue', location={x:97, y:-93, z:88})"
"Create a yellow cube at position 38, -49, -10.","createObject(type='cube', color='yellow', location={x:38, y:-49, z:-10})"
"Create a blue pyramid at position -45, -90, 40.","createObject(type='pyramid', color='blue', location={x:-45, y:-90, z:40})"
"Create a blue pyramid at position 78, -76, 50.","createObject(type='pyramid', color='blue', location={x:78, y:-76, z:50})"
"Create a red sphere at position -91, -73, 8.","createObject(type='sphere', color='red', location={x:-91, y:-73, z:8})"
"Create a green pyramid at position 4, -53, 42.","createObject(type='pyramid', color='green', location={x:4, y:-53, z:42})"
"Create a yellow cube at position -60, 77, -48.","createObject(type='cube', color='yellow', location={x:-60, y:77, z:-48})"
"Create a yellow sphere at position -68, -64, -56.","createObject(type='sphere', color='yellow', location={x:-68, y:-64, z:-56})"
"Create a blue pyramid at position -8, 39, 59.","createObject(type='pyramid', color='blue', location={x:-8, y:39, z:59})"
"Create a blue cube at position 92, 8, 11.","createObject(type='cube', color='blue', location={x:92, y:8, z:11})"
"Create a red pyramid at position 0, -25, 99.","createObject(type='pyramid', color='red', location={x:0, y:-25, z:99})"
"Create a yellow cube at position 47, -95, 95.","createObject(type='cube', color='yellow', location={x:47, y:-95, z:95})"
"Create a yellow sphere at position -6, 9, 4.","createObject(type='sphere', color='yellow', location={x:-6, y:9, z:4})"
"Create a green pyramid at position -46, -50, -65.","createObject(type='pyramid', color='green', location={x:-46, y:-50, z:-65})"
"Create a red cube at position -31, -73, 86.","createObject(type='cube', color='red', location={x:-31, y:-73, z:86})"
"Create a red pyramid at position 17, 23, 27.","createObject(type='pyramid', color='red', location={x:17, y:23, z:27})"
"Create a blue cube at position 79, 98, -20.","createObject(type='cube', color='blue', location={x:79, y:98, z:-20})"
"Create a green pyramid at position 93, -7, -93.","createObject(type='pyramid', color='green', location={x:93, y:-7, z:-93})"
"Create a yellow sphere at position -9, 21, -2.","createObject(type='sphere', color='yellow', location={x:-9, y:21, z:-2})"
"Create a blue sphere at position 21, 47, -88.","createObject(type='sphere', color='blue', location={x:21, y:47, z:-88})"
"Create a green cube at position -81, -17, 91.","createObject(type='cube', color='green', location={x:-81, y:-17, z:91})"
"Create a green sphere at position 77, -35, -6.","createObject(type='sphere', color='green', location={x:77, y:-35, z:-6})"
"Create a green cube at position -67, 15, -40.","createObject(type='cube', color='green', location={x:-67, y:15, z:-40})"
"Create a green sphere at position 13, -60, -14.","createObject(type='sphere', color='green', location={x:13, y:-60, z:-14})"
"Create a green pyramid at position -96, 1, -26.","createObject(type='pyramid', color='green', location={x:-96, y:1, z:-26})"
"Create a yellow sphere at position 75, 48, -77.","createObject(type='sphere', color='yellow', location={x:75, y:48, z:-77})"
"Create a red pyramid at position -19, -40, 7.","createObject(type='pyramid', color='red', location={x:-19, y:-40, z:7})"
"Create a yellow cube at position 63, -98, -65.","createObject(type='cube', color='yellow', location={x:63, y:-98, z:-65})"
"Create a red pyramid at position 11, -5, 25.","createObject(type='pyramid', color='red', location={x:11, y:-5, z:25})"
"Create a yellow cube at position 51, -64, -76.","createObject(type='cube', color='yellow', location={x:51, y:-64, z:-76})"
"Create a red pyramid at position -35, 90, 11.","createObject(type='pyramid', color='red', location={x:-35, y:90, z:11})"
"Create a green sphere at position 35, 63, -32.","createObject(type='sphere', color='green', location={x:35, y:63, z:-32})"
"Create a red sphere at position -98, -48, -63.","createObject(type='sphere', color='red', location={x:-98, y:-48, z:-63})"
"Create a red pyramid at position -73, -9, 50.","createObject(type='pyramid', color='red', location={x:-73, y:-9, z:50})"
"Create a yellow cube at position -13, -42, -71.","createObject(type='cube', color='yellow', location={x:-13, y:-42, z:-71})"
"Create a red cube at position -92, -38, 56.","createObject(type='cube', color='red', location={x:-92, y:-38, z:56})"
