input,output
Create a red cube at 52 -72 44,"createObject(type='cube', color='red', location={x:52, y:-72, z:44})"
Create a red cube at 87 58 59,"createObject(type='cube', color='red', location={x:87, y:58, z:59})"
Create a green sphere at 3 47 -27,"createObject(type='sphere', color='green', location={x:3, y:47, z:-27})"
Create a green pyramid at 66 -80 -18,"createObject(type='pyramid', color='green', location={x:66, y:-80, z:-18})"
Create a red cube at 92 -5 -57,"createObject(type='cube', color='red', location={x:92, y:-5, z:-57})"
Create a green sphere at 53 -51 -56,"createObject(type='sphere', color='green', location={x:53, y:-51, z:-56})"
Create a green pyramid at -45 30 -51,"createObject(type='pyramid', color='green', location={x:-45, y:30, z:-51})"
Create a red pyramid at 95 43 -86,"createObject(type='pyramid', color='red', location={x:95, y:43, z:-86})"
Create a yellow pyramid at 82 -85 57,"createObject(type='pyramid', color='yellow', location={x:82, y:-85, z:57})"
Create a blue sphere at 30 9 42,"createObject(type='sphere', color='blue', location={x:30, y:9, z:42})"
Create a red pyramid at -51 78 71,"createObject(type='pyramid', color='red', location={x:-51, y:78, z:71})"
Create a red cube at -80 48 3,"createObject(type='cube', color='red', location={x:-80, y:48, z:3})"
Create a green cube at -23 43 50,"createObject(type='cube', color='green', location={x:-23, y:43, z:50})"
Create a red cube at -52 -30 91,"createObject(type='cube', color='red', location={x:-52, y:-30, z:91})"
Create a blue sphere at 93 -93 -46,"createObject(type='sphere', color='blue', location={x:93, y:-93, z:-46})"
Create a yellow cube at 43 28 -33,"createObject(type='cube', color='yellow', location={x:43, y:28, z:-33})"
Create a blue sphere at 83 94 -87,"createObject(type='sphere', color='blue', location={x:83, y:94, z:-87})"
Create a yellow pyramid at 4 -32 85,"createObject(type='pyramid', color='yellow', location={x:4, y:-32, z:85})"
Create a blue cube at -82 -1 -77,"createObject(type='cube', color='blue', location={x:-82, y:-1, z:-77})"
Create a green sphere at 7 21 67,"createObject(type='sphere', color='green', location={x:7, y:21, z:67})"
Create a green sphere at -18 29 -35,"createObject(type='sphere', color='green', location={x:-18, y:29, z:-35})"
Create a yellow cube at -82 -94 93,"createObject(type='cube', color='yellow', location={x:-82, y:-94, z:93})"
Create a blue cube at 79 53 28,"createObject(type='cube', color='blue', location={x:79, y:53, z:28})"
Create a blue cube at 7 88 90,"createObject(type='cube', color='blue', location={x:7, y:88, z:90})"
Create a blue sphere at -81 -32 65,"createObject(type='sphere', color='blue', location={x:-81, y:-32, z:65})"
Create a yellow cube at -64 44 18,"createObject(type='cube', color='yellow', location={x:-64, y:44, z:18})"
Create a yellow sphere at -37 56 97,"createObject(type='sphere', color='yellow', location={x:-37, y:56, z:97})"
Create a blue pyramid at 15 50 86,"createObject(type='pyramid', color='blue', location={x:15, y:50, z:86})"
Create a red cube at 82 -19 -39,"createObject(type='cube', color='red', location={x:82, y:-19, z:-39})"
Create a blue pyramid at 21 2 -56,"createObject(type='pyramid', color='blue', location={x:21, y:2, z:-56})"
Create a yellow sphere at 47 -92 53,"createObject(type='sphere', color='yellow', location={x:47, y:-92, z:53})"
